author,awards,bookFormat,bookName,description,isbn,noOfPages,noOfReviews,publisher,rating,votes 
Patricia Briggs,"Romantic Times Reviewers' Choice Award (RT Award) for Urban Fantasy (2009),P.E.A.R.L. (Paranormal Excellence Award for Romantic Literature) for Best Urban Fantasy Romance (2009),Goodreads Choice Award Nominee for Fantasy (2009)",Mass Market Paperback,Bone Crossed,"By day, Mercy is a car mechanic in the sprawling Tri-Cities of Eastern Washington. By night, she explores her preternatural side. As a shapeshifter with some unique talents, Mercy has often found herself having to maintain a tenuous harmony between the human and the not so human. This time she may get more than she bargained for.Marsilia, the local Vampire Queen, has learnBy day, Mercy is a car mechanic in the sprawling Tri-Cities of Eastern Washington. By night, she explores her preternatural side. As a shapeshifter with some unique talents, Mercy has often found herself having to maintain a tenuous harmony between the human and the not so human. This time she may get more than she bargained for.Marsilia, the local Vampire Queen, has learned that Mercy crossed her by slaying a member of her clan—and she's out for blood. But since Mercy is protected from direct reprisal by the werewolf pack (and her close relationship with its sexy Alpha), it won't be Mercy's blood Marsilia is after.It'll be her friends'.",1841496863,300 pages,"2,573"," 
            Published
        2010
         by Orbit",4.34,"84,554"
Brandon Mull,"Utah Best of State for Literary Arts - Fiction (2010),Rebecca Caudill Young Readers' Book Award Nominee (2011)",Hardcover,Fablehaven,"For centuries mystical creatures of all description were gathered into a hidden refuge called Fablehaven to prevent their extinction. The sanctuary survives today as one of the last strongholds of true magic. Enchanting? Absolutely. Exciting? You bet. Safe? Well, actually, quite the opposite.Kendra and her brother, Seth, have no idea that their grandfather is the current cFor centuries mystical creatures of all description were gathered into a hidden refuge called Fablehaven to prevent their extinction. The sanctuary survives today as one of the last strongholds of true magic. Enchanting? Absolutely. Exciting? You bet. Safe? Well, actually, quite the opposite.Kendra and her brother, Seth, have no idea that their grandfather is the current caretaker of Fablehaven. Inside the gated woods, ancient laws keep relative order among greedy trolls, mischievous satyrs, plotting witches, spiteful imps, and jealous fairies. However, when the rules get broken -- Seth is a bit too curious and reckless for his own good -- powerful forces of evil are unleashed, and Kendra and her brother face the greatest challenge of their lives. To save their family, Fablehaven, and perhaps even the world, Kendra and Seth must find the courage to do what they fear most.",1590385810,351 pages,"9,000"," 
            Published
        June 7th 2006
         by Shadow Mountain",4.09,"112,145"
Jim Butcher,,Hardcover,First Lord's Fury,"For Gaius Octavian, life has been one long battle. Now, the end of all he fought for is close at hand. The brutal, dreaded Vord are on the march against Alera. And perhaps for the final time, Gaius Octavian and his legions must stand against the enemies of his people. And it will take all his intelligence, ingenuity, and furycraft to save their world from eternal darkness.",044101769X,465 pages,"1,404"," 
            Published
        November 24th 2009
         by Ace Books",4.38,"49,501"
Jim Butcher,Goodreads Choice Award Nominee for Fantasy (2009),Hardcover,Turn Coat,"When it comes to the magical ruling body known as the White Council, Harry keeps his nose clean and his head down. For years, the Council has held a death mark over Harry's head. He's still thought of as a black sheep by some and as a sacrificial lamb by others. But none regard him with more suspicion and disdain than Morgan, a veteran Warden with a grudge against anyone wWhen it comes to the magical ruling body known as the White Council, Harry keeps his nose clean and his head down. For years, the Council has held a death mark over Harry's head. He's still thought of as a black sheep by some and as a sacrificial lamb by others. But none regard him with more suspicion and disdain than Morgan, a veteran Warden with a grudge against anyone who bends the rules.Like Harry.So when Morgan turns up asking for help, Harry isn't exactly eager to leap into action. Morgan has been accused of treason against the White Council, and there's only one final punishment for that crime. He's on the run, he wants his name cleared, and he needs someone with a knack for backing the underdog.Like Harry.Now Harry must uncover a traitor within the Council, keep a less than agreeable Morgan under wraps, and avoid coming under scrutiny himself. And a single mistake may cost someone his head.",0451462564,420 pages,"2,320"," 
            Published
        April 7th 2009
         by Roc",4.45,"75,239"
Daniel Abraham,,Hardcover,A Shadow in Summer,"The city-state of Saraykeht dominates the Summer Cities. Its wealth is beyond measure; its port is open to all the merchants of the world, and its ruler, the Khai Saraykeht, commands forces to rival the Gods. Commerce and trade fill the streets with a hundred languages, and the coffers of the wealthy with jewels and gold. Any desire, however exotic or base, can be satisfieThe city-state of Saraykeht dominates the Summer Cities. Its wealth is beyond measure; its port is open to all the merchants of the world, and its ruler, the Khai Saraykeht, commands forces to rival the Gods. Commerce and trade fill the streets with a hundred languages, and the coffers of the wealthy with jewels and gold. Any desire, however exotic or base, can be satisfied in its soft quarter. Blissfully ignorant of the forces that fuel their prosperity, the people live and work secure in the knowledge that their city is a bastion of progress in a harsh world. It would be a tragedy if it fell.Saraykeht is poised on the knife-edge of disaster.At the heart of the city's influence are the poet-sorcerer Heshai and the captive spirit, Seedless, whom he controls. For all his power, Heshai is weak, haunted by memories of shame and humiliation. A man faced with constant reminders of his responsibilities and his failures, he is the linchpin and the most vulnerable point in Saraykeht's greatness.Far to the west, the armies of Galt have conquered many lands. To take Saraykeht, they must first destroy the trade upon which its prosperity is based. Marchat Wilsin, head of Galt's trading house in the city, is planning a terrible crime against Heshai and Seedless. If he succeeds, Saraykeht will fall.Amat, House Wilsin's business manager, is a woman who rose from the slums to wield the power that Marchat Wilsin would use to destroy her city. Through accidents of fate and circumstance Amat, her apprentice Liat, and two young men from the farthest reaches of their society stand alone against the dangers that threaten the city.",0765313405,331 pages,645,"  
            Published
        March 7th 2006
         by Tor Books",3.59,"10,017"
Rebecca Nolen,,Paperback,The Dry,"West Virginia, 1895. A deadly dry spell has left the earth parched and souls desperate. Crops are failing. Cities are starving. A missing newspaper man doesn't account for much in times so terrible, except to the twelve-year-old son he left behind. When Elliot Sweeney discovers the search for his father has been called off, he boards a train alone to find him. His quest leWest Virginia, 1895. A deadly dry spell has left the earth parched and souls desperate. Crops are failing. Cities are starving. A missing newspaper man doesn't account for much in times so terrible, except to the twelve-year-old son he left behind. When Elliot Sweeney discovers the search for his father has been called off, he boards a train alone to find him. His quest leads Elliot into the depths of an abandoned mine, with a peculiar pocket watch, a blind burro, and a gutsy girl at his side. He discovers a world he never dreamed of, even in his worst nightmares, and lands smack in the middle of a war between two kingdoms. Monstrous insects, smiling villains, and dark riddles are everywhere. Deciding who to trust may prove to be his greatest challenge, while the fate of the world above hangs on Elliot's choice.",,252 pages,34," 
            Published
        November 22nd 2013
         by Skipjack Publishing",4.31,127
Tad Williams,,Paperback,The War of the Flowers,"Theo Vilmos' life is about to take a real turn for the worse.He is drawn from his home in Northern California into the parallel world of Faerie, for, unknown to him, he is a pivotal figure in a war between certain of Faerie's powerful lords and the rest of the strange creatures who live in this exotic realm.",075640181X,828 pages,365," 
            Published
        May 4th 2004
         by DAW",3.87,"7,963"
Charlaine Harris,,Mass Market Paperback,Definitely Dead,"Since Louisiana cocktail waitress Sookie Stackhouse has so few living relatives, she hates to lose one - even her cousin Hadley, undead consort of the vampire Queen of Louisiana. Hadley's left everything she has to Sookie, but claiming that inheritance has a high risk factor. Some people don't want her looking too deeply into Hadley's past,  Hadley's possessions. And theSince Louisiana cocktail waitress Sookie Stackhouse has so few living relatives, she hates to lose one - even her cousin Hadley, undead consort of the vampire Queen of Louisiana. Hadley's left everything she has to Sookie, but claiming that inheritance has a high risk factor. Some people don't want her looking too deeply into Hadley's past,  Hadley's possessions. And they're prepared to do anything in their power to stop her. Whoever it is, they're definitely dangerous - and Sookie's life is definitely on the line...",0441014917,342 pages,"3,796"," 
            Published
        March 27th 2007
         by Ace Books",4.02,"177,569"
Patricia Briggs,,Mass Market Paperback,Blood Bound,"Mechanic Mercy Thompson has friends in low places-and in dark ones. And now she owes one of them a favor. SinceMechanic Mercy Thompson has friends in low places-and in dark ones. And now she owes one of them a favor. Since she can shapeshift at will, she agrees to act as some extra muscle when her vampire friend Stefan goes to deliver a message to another of his kind.But this new vampire is hardly ordinary-and neither is the demon inside of him.",0441014739,292 pages,"3,427"," 
            Published
        January 30th 2007
         by Ace",4.31,"97,268"
Ilona Andrews,,Mass Market Paperback,Magic Strikes,"Drafted to work for the Order of Knights of Merciful Aid, mercenary Kate Daniels has more paranormal problems these days than she knows what to do with. And in Atlanta, where magic comes and goes like the tide, that’s saying a lot.But when Kate’s werewolf friend Derek is discovered nearly dead, sheDrafted to work for the Order of Knights of Merciful Aid, mercenary Kate Daniels has more paranormal problems these days than she knows what to do with. And in Atlanta, where magic comes and goes like the tide, that’s saying a lot.But when Kate’s werewolf friend Derek is discovered nearly dead, she must confront her greatest challenge yet. As her investigation leads her to the Midnight Games—an invitation-only, no-holds-barred, ultimate preternatural fighting tournament—she and Curran, the Lord of the Beasts, uncover a dark plot that may forever alter the face of Atlanta’s shapeshifting community…",0441017029,310 pages,"2,836"," 
            Published
        April 2009
         by Berkley Publishing Group",4.44,"60,490"
China Miéville,"Hugo Award Nominee for Best Novel (2005),Locus Award for Best Fantasy Novel (2005),Arthur C. Clarke Award for Best Novel (2005),World Fantasy Award Nominee for Best Novel (2005),Kurd-Laßwitz-Preis for Foreign Novel (2006)",Paperback,Iron Council,"Following  and , acclaimed author China Miéville returns with his hugely anticipated Del Rey hardcover debut. With a fresh and fantastical band of characters, he carries us back to the decadent squalor of New Crobuzon—this time, decades later.It is a time of wars and revolutions, conflict and intrigue. New Crobuzon is being ripped apart fromFollowing  and , acclaimed author China Miéville returns with his hugely anticipated Del Rey hardcover debut. With a fresh and fantastical band of characters, he carries us back to the decadent squalor of New Crobuzon—this time, decades later.It is a time of wars and revolutions, conflict and intrigue. New Crobuzon is being ripped apart from without and within. War with the shadowy city-state of Tesh and rioting on the streets at home are pushing the teeming city to the brink. A mysterious masked figure spurs strange rebellion, while treachery and violence incubate in unexpected places.In desperation, a small group of renegades escapes from the city and crosses strange and alien continents in the search for a lost hope.In the blood and violence of New Crobuzon’s most dangerous hour, there are whispers. It is the time of the iron council. . . .The bold originality that broke Miéville out as a new force of the genre is here once more in : the voluminous, lyrical novel that is destined to seal his reputation as perhaps the edgiest mythmaker of the day.",0345458427,576 pages,785," 
            Published
        July 26th 2005
         by Del Rey",3.69,"11,969"
Paul Cude,,Kindle Edition,Bentwhistle The Dragon in A Chilling Revelation,"Following his harrowing and near death experience at the talons of the evil dragon Manson in 'A Threat From The Past', Peter Bentwhistle, the human shaped dragon and reluctant hero, finds himself on the slow path to recovery.Helped by his dragon friends, Tank and Richie (both in their human forms), he finds solace in his new found friendship with the dragon king. But the tFollowing his harrowing and near death experience at the talons of the evil dragon Manson in 'A Threat From The Past', Peter Bentwhistle, the human shaped dragon and reluctant hero, finds himself on the slow path to recovery.Helped by his dragon friends, Tank and Richie (both in their human forms), he finds solace in his new found friendship with the dragon king. But the three friends are soon unwittingly drawn into a deadly plot, when a straight forward meeting with the monarch sees them helping an injured dragon agent, straight back from his mission in Antarctica with news of a devastating encounter with another ancient race.Blackmail, intrigue, forbidden love interests, a near fatal mantra gone wrong, a highly charged rugby match in which Tank takes a beating, combined with enough laminium ball action to please dragons the world over, stretch the bonds of the dragons' friendship like never before. New friends and ancient enemies clash as the planet braces itself for one of the most outrageous attacks it has ever seen. Lost secrets and untold lore come to light, while sinister forces attempt to steal much coveted magic.Explosive exploits, interspersed with a chilly backdrop and unexpected danger at every turn, make for an action-packed, electrifying adventure.'Snow way you'll wanna miss this!",English,636 pages,9," 
            Published
        February 23rd 2014",4.74,89
Philip Pullman,"Guardian Children's Fiction Prize (1996),Audie Award for Children's Titles (2000),Lincoln Award Nominee (2005),Carnegie Medal (1995)",Hardcover,The Golden Compass,"Lyra is rushing to the cold, far North, where witch clans and armored bears rule. North, where the Gobblers take the children they steal--including her friend Roger. North, where her fearsome uncle Asriel is trying to build a bridge to a parallel world.Can one small girl make a difference in such great and terrible endeavors? This is Lyra: a savage, a schemer, a liar, andLyra is rushing to the cold, far North, where witch clans and armored bears rule. North, where the Gobblers take the children they steal--including her friend Roger. North, where her fearsome uncle Asriel is trying to build a bridge to a parallel world.Can one small girl make a difference in such great and terrible endeavors? This is Lyra: a savage, a schemer, a liar, and as fierce and true a champion as Roger or Asriel could want--but what Lyra doesn't know is that to help one of them will be to betray the other.A masterwork of storytelling and suspense, Philip Pullman's award-winning  is the first in the His Dark Materials series, which continues with  and .",0679879242,399 pages,"16,774"," 
            Published
        April 16th 1996
         by Alfred A. Knopf Books for Young Readers",3.95,"1,075,757"
Robin Hobb,,Mass Market Paperback,Golden Fool,"The acclaimed  and  trilogies established Robin Hobb as one of the most splendidly imaginative practitioners of world-class fantasy. Now, in Book 2 of her most stunning trilogy yet, Hobb continues the soul-shattering tale of FitzChivalry Farseer. With rich characters, breathtaking magic, and sweeping action,  brings the reluctant adventureThe acclaimed  and  trilogies established Robin Hobb as one of the most splendidly imaginative practitioners of world-class fantasy. Now, in Book 2 of her most stunning trilogy yet, Hobb continues the soul-shattering tale of FitzChivalry Farseer. With rich characters, breathtaking magic, and sweeping action,  brings the reluctant adventurer further into the fray in an epic of sacrifice, salvation, and untold treachery.Prince Dutiful has been rescued from his Piebald kidnappers and the court has resumed its normal rhythms. But for FitzChivalry Farseer, a return to isolation is impossible. Though gutted by the loss of his wolf bondmate, Nighteyes, Fitz must take up residence at Buckkeep and resume his tasks as Chade’s apprentice assassin. Posing as Tom Badgerlock, bodyguard to Lord Golden, FitzChivalry becomes the eyes and ears behind the walls. And with his old mentor failing visibly, Fitz is forced to take on more burdens as he attempts to guide a kingdom straying closer to civil strife each day.The problems are legion. Prince Dutiful’s betrothal to the Narcheska Elliania of the Out Islands is fraught with tension, and the Narcheska herself appears to be hiding an array of secrets. Then, amid Piebald threats and the increasing persecution of the Witted, FitzChivalry must ensure that no one betrays the Prince’s secret—a secret that could topple the Farseer throne: that he, like Fitz, possesses the dread “beast magic.”Meanwhile, FitzChivalry must impart to the Prince his limited knowledge of the Skill: the hereditary and addictive magic of the Farseers. In the process, they discover within Buckkeep one who has a wild and powerful talent for it, and whose enmity for Fitz may have disastrous consequences for all.Only Fitz’s enduring friendship with the Fool brings him any solace. But even that is shattered when unexpected visitors from Bingtown reveal devastating secrets from the Fool’s past. Now, bereft of support and adrift in intrigue, Fitz’s biggest challenge may be simply to survive the inescapable and violent path that fate has laid out for him.",0553582453,709 pages,999," 
            Published
        December 2003
         by Spectra",4.33,"53,408"
Gail Carriger,"Prix Julia Verlanger (2013),ALA Alex Award (2010)",Mass Market Paperback,Soulless," First, she has no soul. Second, she's a spinster whose father is both Italian and dead. Third, she was rudely attacked by a vampire, breaking all standards of social etiquette.Where to go from there? From bad to worse apparently, for Alexia accidentally kills the vampire--and then the appalling Lord Macco First, she has no soul. Second, she's a spinster whose father is both Italian and dead. Third, she was rudely attacked by a vampire, breaking all standards of social etiquette.Where to go from there? From bad to worse apparently, for Alexia accidentally kills the vampire--and then the appalling Lord Maccon (loud, messy, gorgeous, and werewolf) is sent by Queen Victoria to investigate.With unexpected vampires appearing and expected vampires disappearing, everyone seems to believe Alexia responsible. Can she figure out what is actually happening to London's high society? Will her soulless ability to negate supernatural powers prove useful or just plain embarrassing? Finally, who is the real enemy, and do they have treacle tart?",0316056634,357 pages,"9,086"," 
            Published
        October 1st 2009
         by Orbit",3.91,"83,577"
Tom Sechrist,,ebook,The Stones of Andarus,"The Stones of Andarus are three ancient stones said to contain a fragment of the power of creation twisted with the dark soul of a crazed sorcerer. When a demented Master Mage intends to unleash the unholy power of these ancient artifacts, it will fall to five unlikely heroes to stop him. The battle for the fate of the realm has only just begun...Legend has it that a demenThe Stones of Andarus are three ancient stones said to contain a fragment of the power of creation twisted with the dark soul of a crazed sorcerer. When a demented Master Mage intends to unleash the unholy power of these ancient artifacts, it will fall to five unlikely heroes to stop him. The battle for the fate of the realm has only just begun...Legend has it that a demented sorcerer named Andarus sought to harness the power of creation…to bend it to his will. He searched throughout the realm for mystical vessels that could contain such unfathomable power and The Stones of Andarus were created. The Stones are said to contain a fragment of the power of creation along with the dark, twisted soul of the sorcerer Andarus.On this account, the legends are true.The fate of The Stones through history is not known. Some say that, despite their awesome power, they were destroyed long ago. Others claim they were divided and hidden away in the far corners of the land. Yet others believe the sinister power of the Stones has faded over the great span of time since their creation, and can never be a threat again. Then there are those who say the tale of the Stones is nothing but pure fantasy.On this account, the legends are dead wrong.Xavier, an unstable and evil Master Mage, has spent his life perfecting his mastery of not only the Mystical Arts, but the forbidden magic of the Dark Mystics. Now, at the peak of his sinister power, he has the Stones of Andarus and intends to not only unleash their unholy power, but attempt to control it.Such power, twisted by the crazed essence of a mad man, can never be controlled and dared not be unleashed, but Xavier believes he has the power and the skill to accomplish the impossible.Enter Daimion Devenshire, a mysterious loner with seductive charms, dark secrets and deep scars. He is a minor mage of the Mystical Arts, but there is a power within him that not even he is aware of...at least not yet. When he learns that Xavier has the Stones, he knows that the mad man has to be stopped or the entire realm could be forever altered if not destroyed. Joining him on his desperate quest are The Lady Brianna Standish, seductively beautiful and fiercely independent. She is a woman who lives her life on her terms, much to the chagrin of medieval society. Raven Darkseed is a rouge Adept Mage of the Mystical Arts and the closest thing to a best friend to Devenshire. Shantira Dubris is a young village woman set on vengeance and torn by the storm of emotions and sensations that Devenshrie stirs within her. Zandorth Krahl is a warrior of the Ancient Class, a vanishing breed of men who value honor and integrity above all else.From the beginning, Devenshire and company are pursued…by both friend and foe. Darius Thieberian, a vampire with special designs on Brianna, stalks the group with motives as dark as the night he lives in. Rachelle Tambrey, a unique vampire with an unexplainable interest in Devenshire, follows as well. Add a compliment of the King’s Royal Guards who have been convinced that Devenshire is a vampire by an ex-vampire hunter turned bandit, and the group’s efforts to save the realm are thwarted at every turn.Through trials and tribulations, deceptions and betrayals this group of unlikely heroes must face many obstacles in their epic quest to stop Xavier, including an opponent fiercer than any they have ever faced…the demons within themselves.The battle for the fate of the realm has only just begun...",,474 pages,4,"  
            Published
        October 20th 2012
         by Tom Sechrist",4.48,96
Alison Croggon,,Paperback,The Naming,"Maerad is a slave in a desperate and unforgiving settlement, taken there as a child after her family is destroyed in war. She is unaware that she possesses a powerful gift, one that marks her as a member of the School of Pellinor. It is only when she is discovered by Cadvan, one of the great Bards of Lirigon, that her true heritage and extraordinary destiny unfold. Now sheMaerad is a slave in a desperate and unforgiving settlement, taken there as a child after her family is destroyed in war. She is unaware that she possesses a powerful gift, one that marks her as a member of the School of Pellinor. It is only when she is discovered by Cadvan, one of the great Bards of Lirigon, that her true heritage and extraordinary destiny unfold. Now she and her new teacher must survive a journey through a time and place where the forces they battle stem from the deepest recesses of otherworldly terror.Alison Croggon’s epic fantasy, the first in the Books of Pellinor quartet, is a glittering saga steeped in the rich and complex landscape of Annar, a legendary world ripe for discovery.",0763631620,492 pages,"1,450"," 
            Published
        March 14th 2006
         by Candlewick Press",4.0,"22,427"
Jim Butcher,,Mass Market Paperback,Summer Knight,"HARRY DRESDEN -- WIZARDLost items found. Paranormal Investigations. Consulting. Advice. Reasonable Rates.No Love Potions, Endless Purses, or Other EntertainmentEver since his girlfriend left town to deal with her newly acquired taste for blood, Harry Dresden has been down and out in Chicago. He can't pay his rent. He's alHARRY DRESDEN -- WIZARDLost items found. Paranormal Investigations. Consulting. Advice. Reasonable Rates.No Love Potions, Endless Purses, or Other EntertainmentEver since his girlfriend left town to deal with her newly acquired taste for blood, Harry Dresden has been down and out in Chicago. He can't pay his rent. He's alienating his friends. He can't even recall the last time he took a shower.The only professional wizard in the phone book has become a desperate man.And just when it seems things can't get any worse, in saunters the Winter Queen of Faerie. She has an offer Harry can't refuse if he wants to free himself of the supernatural hold his faerie godmother has over him--and hopefully end his run of bad luck. All he has to do is find out who murdered the Summer Queen's right-hand man, the Summer Knight, and clear the Winter Queen's name.It seems simple enough, but Harry knows better than to get caught in the middle of faerie politics. Until he finds out that the fate of the entire world rests on his solving this case. No pressure or anything...",0451458923,446 pages,"3,437"," 
            Published
        September 3rd 2002
         by Roc",4.3,"106,085"
Tom Sechrist,,Kindle Edition,Predator & Prey,"After a hellish night and a harrowing escape from Lirpa, Daimion Devenshire, Brianna Standish, Shantira Dubris, Raven Darkseed, and Zandorth Krahl have fled into the wilderness to elude capture for crimes they did not commit. They set off in pursuit of the Stones of Andarus, now firmly in the grasp of Xavier, a madman who would dare unleash their sinister power to conquerAfter a hellish night and a harrowing escape from Lirpa, Daimion Devenshire, Brianna Standish, Shantira Dubris, Raven Darkseed, and Zandorth Krahl have fled into the wilderness to elude capture for crimes they did not commit. They set off in pursuit of the Stones of Andarus, now firmly in the grasp of Xavier, a madman who would dare unleash their sinister power to conquer and dominate the entire realm! There is only one chance: Devenshire and his companions. As the unlikely heroes pursue Xavier, they also find themselves pursued by a compliment of the King's Royal Guard, led by the indomitable Captain Gregory Armand, Lordalise, a rogue Vampire Hunter intent on proving Devenshire is a vampire, and Darius Thieberian, who is a vampire with designs on Lady Brianna… and all are as dark as the night that Darius lives in. They are all caught in a contest that will pit mystic might against mystic might, skill against skill, cunning against cunning, and the will to live against the desire to destroy! With new allies including three elves, Stant, Petera and Kendra, and those who cannot be identified as friend or foe, Devenshire and company find themselves in a dire race against time and distance to thwart Xavier’s plans. They also find themselves becoming both... Predator & Prey!",English,441 pages,3,"  
            Published
        March 22nd 2014
         by Tom Sechrist",4.56,89
Catherynne M. Valente,"World Fantasy Award Nominee for Best Novel (2007),Mythopoeic Fantasy Award for Adult Literature (2008),James Tiptree Jr. Award (2006)",Paperback,In the Night Garden,"A Book of Wonders for Grown-Up ReadersEvery once in a great while a book comes along that reminds us of the magic spell that stories can cast over us to dazzle, entertain, and enlighten. Welcome to the Arabian Nights for our time a lush and fantastical epic guaranteed to spirit you away from the very first page.Secreted away in a garden, a lonely girl spins stories to warmA Book of Wonders for Grown-Up ReadersEvery once in a great while a book comes along that reminds us of the magic spell that stories can cast over us to dazzle, entertain, and enlighten. Welcome to the Arabian Nights for our time a lush and fantastical epic guaranteed to spirit you away from the very first page.Secreted away in a garden, a lonely girl spins stories to warm a curious prince: peculiar feats and unspeakable fates that loop through each other and back again to meet in the tapestry of her voice. Inked on her eyelids, each twisting, tattooed tale is a piece in the puzzle of the girl's own hidden history. And what tales she tells! Tales of shape-shifting witches and wild horsewomen, heron kings and beast princesses, snake gods, dog monks, and living stars each story more strange and fantastic than the one that came before. From ill-tempered mermaid to fastidious Beast, nothing is ever quite what it seems in these ever-shifting tales even, and especially, their teller. Adorned with illustrations by the legendary Michael Kaluta, Valente's enchanting lyrical fantasy offers a breathtaking reinvention of the untold myths and dark fairy tales that shape our dreams. And just when you think you've come to the end, you realize the adventure has only begun.",0553384031,483 pages,775," 
            Published
        October 31st 2006
         by Bantam Dell",4.14,"5,849"
Steven Erikson,,Mass Market Paperback,House of Chains,"In Northern Genabackis, tribal mountain warriors raid southern flatlands. Years later, Tavore, Adjunct to the Empress, enters the last Malazan stronghold. New to command, she must hone 12,000 recruits to resist the Whirlwind of her sister Sha in the Holy Desert. The power struggle of the seer's warlords threatens the soul of the rebellion.",0765348810,1021 pages,880," 
            Published
        March 2007
         by Tor Fantasy",4.32,"30,697"
Naomi Novik,,Mass Market Paperback,Throne of Jade,"When Britain intercepted a French ship and its precious cargo–an unhatched dragon’s egg–Capt. Will Laurence of HMS Reliant unexpectedly became master and commander of the noble dragon he named Temeraire. As new recruits in Britain’s Aerial Corps, man and dragon soon proved their mettle in daring combat against Bonaparte’s invading forces. Now China has discovered that itsWhen Britain intercepted a French ship and its precious cargo–an unhatched dragon’s egg–Capt. Will Laurence of HMS Reliant unexpectedly became master and commander of the noble dragon he named Temeraire. As new recruits in Britain’s Aerial Corps, man and dragon soon proved their mettle in daring combat against Bonaparte’s invading forces. Now China has discovered that its rare gift, intended for Napoleon, has fallen into British hands–and an angry Chinese delegation vows to reclaim the remarkable beast. But Laurence refuses to cooperate. Facing the gallows for his defiance, Laurence has no choice but to accompany Temeraire back to the Far East–a long voyage fraught with peril, intrigue, and the untold terrors of the deep. Yet once the pair reaches the court of the Chinese emperor, even more shocking discoveries and darker dangers await.",0345481291,398 pages,"1,796"," 
            Published
        April 25th 2006
         by Del Rey Books",3.9,"28,985"
Rick Riordan,"Pennsylvania Young Readers' Choice Award for Grades 6-8 (2012),New Mexico Land of Enchantment Award for Young Adult (2012),Goodreads Choice Award Nominee for Favorite Book, Young Adult Fantasy (2010),Carnegie Medal Nominee (2011),Premio El Templo de las Mil Puertas for Mejor novela extranjera perteneciente a saga (2011)",Hardcover,The Red Pyramid,"Since his mother's death six years ago, Carter Kane has been living out of a suitcase, traveling the globe with his father, the brilliant Egyptologist, Dr. Julius Kane. But while Carter's been homeschooled, his younger sister, Sadie, has been living with their grandparents in London. Sadie has just what Carter wants—school friends and a chance at a ""normal"" life. But CarteSince his mother's death six years ago, Carter Kane has been living out of a suitcase, traveling the globe with his father, the brilliant Egyptologist, Dr. Julius Kane. But while Carter's been homeschooled, his younger sister, Sadie, has been living with their grandparents in London. Sadie has just what Carter wants—school friends and a chance at a ""normal"" life. But Carter has just what Sadie longs for—time with their father. After six years of living apart, the siblings have almost nothing in common. Until now.On Christmas Eve, Sadie and Carter are reunited when their father brings them to the British Museum, with a promise that he's going to ""make things right."" But all does not go according to plan: Carter and Sadie watch as Julius summons a mysterious figure, who quickly banishes their father and causes a fiery explosion.Soon Carter and Sadie discover that the gods of Ancient Egypt are waking, and the worst of them—Set—has a frightening scheme. To save their father, they must embark on a dangerous journey—a quest that brings them ever closer to the truth about their family and its links to the House of Life, a secret order that has existed since the time of the pharaohs.",1423113381,516 pages,"11,626"," 
            Published
        May 4th 2010
         by Disney-Hyperion",4.07,"265,948"
Maggie Stiefvater,"Georgia Peach Book Award (2010),Pennsylvania Young Readers' Choice Award Nominee (2011),Children's Choice Book Award Nominee for Teen Choice Book of the Year (2010),Florida Teens Read Nominee (2010),Teen Read Award Nominee for Best Read (2010)",Hardcover,Shiver,"For years, Grace has watched the wolves in the woods behind her house. One yellow-eyed wolf—her wolf—is a chilling presence she can't seem to live without.Meanwhile, Sam has lived two lives: In winter, the frozen woods, the protection of the pack, and the silent company of a fearless girl. In summer, a few precious months of being human… until the cold makes him shift backFor years, Grace has watched the wolves in the woods behind her house. One yellow-eyed wolf—her wolf—is a chilling presence she can't seem to live without.Meanwhile, Sam has lived two lives: In winter, the frozen woods, the protection of the pack, and the silent company of a fearless girl. In summer, a few precious months of being human… until the cold makes him shift back again.Now, Grace meets a yellow-eyed boy whose familiarity takes her breath away. It's her wolf. It has to be. But as winter nears, Sam must fight to stay human—or risk losing himself, and Grace, forever.",0545123267,390 pages,"21,393"," 
            Published
        August 1st 2009
         by Scholastic Press",3.77,"389,088"
Jacqueline Carey,,Paperback,Kushiel's Avatar,"The land of Terre d'Ange is a place of unsurpassed beauty and grace. It's inhabited by the race that rose from the seed of angels, and they live by one simple rule:  Phèdre nó Delaunay was sold into indentured servitude as a child. Her bond was purchased by a nobleman who recognized that she was pricked by Kushiel's dart, chosen to forever experience painThe land of Terre d'Ange is a place of unsurpassed beauty and grace. It's inhabited by the race that rose from the seed of angels, and they live by one simple rule:  Phèdre nó Delaunay was sold into indentured servitude as a child. Her bond was purchased by a nobleman who recognized that she was pricked by Kushiel's dart, chosen to forever experience pain and pleasure as one. Phèdre's path has been strange and dangerous. She has lain with princes and pirate kings, battled a wicked temptress, and saved two nations. Through it all, the devoted swordsman Joscelin has been at her side, following the central precept of the angel Cassiel: Protect and serve. But Phèdre's plans will put his pledge to the test, for she has never forgotten her childhood friend Hyacinthe. She has spent ten long years searching for the key to free him from his eternal indenture to the Master of Straights, a bargain with the gods to save Phèdre and a nation. The search will take Phèdre and Joscelin across the world and down a fabled river to a forgotten land ... and to a power so intense and mysterious, none dare speak its name.",1405034149,702 pages,817," 
            Published
        September 17th 2004
         by Tor",4.37,"29,946"
